报告日期,数据周期,崩溃率(‱),最新版本
2026-01-28,2025.12.22-12.28,145.16,6.0.60.9
2026-02-04,2025.12.29-2026.01.11,138.35,6.0.60.9
2026-02-11,2025.12.29-2026.01.11,138.35,6.0.60.9
2026-03-04,2026.01.12-02.22,118.00,6.0.60.9
2026-03-18,2026.03.02-03.08,117.61,6.0.61.11
2026-04-02,2026.03.16-03.22,125.11,6.0.61.15
2026-04-20,2026.04.20-04.26,118.00,6.0.61.23
2026-04-28,2026.04.13-04.19,,6.0.61.23
2026-05-04,2026.05.04-05.10,146.00,6.0.61.25
2026-05-11,2026.05.11-05.17,159.00,6.0.61.25
2026-05-24,2026.05.18-05.24,146.3,6.0.61.25-1
2026-05-31,2026.05.25-05.31,131.55,6.0.62.1-1
